supplier,freight,freight_basis,case_size,incoterm
Napa Ridge Imports,1.50,per bottle,12,FCA
Napa Valley Co,1.35,per bottle,12,FCA
Bordeaux Negoce,26.40,per case,12,EXW
Left Bank Brokers,2.40,per bottle,6,EXW
Loire Direct,1.30,per bottle,12,EXW
Willamette Partners,1.10,per bottle,12,FCA
Reims Cellars,15.60,per case,6,EXW
Mosel Handel,1.90,per bottle,12,EXW
Rioja Direct,1.40,per bottle,12,EXW
Douro Trading,1.75,per bottle,6,EXW
Barossa Exports,14.40,per case,6,FOB
Tuscan Vines,21.60,per case,12,EXW
Cape Winelands Ltd,2.30,per bottle,6,FOB
Mendoza Andes SA,27.00,per case,12,FOB
